date,temp_mean,city
2023-05-04,13.0,London
2023-05-05,13.7,London
2023-05-06,12.5,London
2023-05-07,15.0,London
2023-05-08,12.6,London
2023-05-09,14.0,London
2023-05-10,12.7,London
2023-05-11,12.4,London
2023-05-12,11.1,London
2023-05-13,11.7,London
2023-05-14,12.5,London
2023-05-15,12.1,London
2023-05-16,11.1,London
2023-05-17,12.0,London
2023-05-18,13.0,London
2023-05-19,12.1,London
2023-05-20,13.0,London
2023-05-21,13.0,London
2023-05-22,14.2,London
2023-05-23,13.0,London
2023-05-24,14.4,London
2023-05-25,13.4,London
2023-05-26,12.6,London
2023-05-27,13.0,London
2023-05-28,14.0,London
2023-05-29,12.5,London
2023-05-30,12.8,London
2023-05-31,14.0,London
2023-06-01,13.5,London
2023-06-02,13.2,London
2023-06-03,14.7,London
2023-06-04,14.9,London
2023-06-05,13.1,London
2023-06-06,13.2,London
2023-06-07,14.3,London
2023-06-08,14.8,London
2023-06-09,17.6,London
2023-06-10,21.4,London
2023-06-11,22.4,London
2023-06-12,21.4,London
2023-06-13,20.0,London
2023-06-14,19.0,London
2023-06-15,19.2,London
2023-06-16,19.3,London
2023-06-17,18.6,London
2023-06-18,19.1,London
2023-06-19,18.7,London
2023-06-20,19.0,London
2023-06-21,19.3,London
2023-06-22,20.3,London
2023-06-23,20.5,London
2023-06-24,21.2,London
2023-06-25,22.5,London
2023-06-26,18.5,London
2023-06-27,18.5,London
2023-06-28,20.3,London
2023-06-29,18.6,London
2023-06-30,16.4,London
2023-07-01,19.2,London
2023-07-02,16.5,London
2023-07-03,15.7,London
2023-07-04,15.1,London
2023-07-05,15.5,London
2023-07-06,16.2,London
2023-07-07,20.3,London
2023-07-08,21.6,London
2023-07-09,18.7,London
2023-07-10,18.7,London
2023-07-11,19.3,London
2023-07-12,17.6,London
2023-07-13,17.6,London
2023-07-14,16.9,London
2023-07-15,17.0,London
2023-07-16,17.0,London
2023-07-17,16.8,London
2023-07-18,17.1,London
2023-07-19,18.0,London
2023-07-20,17.4,London
2023-07-21,16.5,London
2023-07-22,15.4,London
2023-07-23,18.9,London
2023-07-24,15.8,London
2023-07-25,15.7,London
2023-07-26,15.7,London
2023-07-27,19.1,London
2023-07-28,18.7,London
2023-07-29,18.4,London
2023-07-30,17.0,London
2023-07-31,18.1,London
2023-08-01,17.6,London
2023-08-02,17.3,London
2023-08-03,17.0,London
2023-08-04,16.5,London
2023-08-05,15.2,London
2023-08-06,14.8,London
2023-08-07,15.5,London
2023-08-08,14.8,London
2023-08-09,17.6,London
2023-08-10,19.5,London
2023-08-11,20.2,London
2023-08-12,17.8,London
2023-08-13,18.0,London
2023-08-14,18.2,London
2023-08-15,17.9,London
2023-08-16,18.3,London
2023-08-17,18.5,London
2023-08-18,19.7,London
2023-08-19,20.2,London
2023-08-20,18.9,London
2023-08-21,18.4,London
2023-08-22,19.2,London
2023-08-23,19.3,London
2023-08-24,20.0,London
2023-08-25,16.9,London
2023-08-26,15.2,London
2023-08-27,15.2,London
2023-08-28,15.6,London
2023-08-29,15.6,London
2023-08-30,15.8,London
2023-08-31,14.1,London
2023-09-01,17.7,London
2023-09-02,18.6,London
2023-09-03,18.6,London
2023-09-04,20.0,London
2023-09-05,20.8,London
2023-09-06,21.9,London
2023-09-07,22.9,London
2023-09-08,23.4,London
2023-09-09,24.2,London
2023-09-10,23.2,London
2023-09-11,20.9,London
2023-09-12,18.9,London
2023-09-13,16.3,London
2023-09-14,17.1,London
2023-09-15,17.5,London
2023-09-16,18.7,London
2023-09-17,18.2,London
2023-09-18,17.0,London
2023-09-19,16.7,London
2023-09-20,18.0,London
2023-09-21,14.0,London
2023-09-22,12.5,London
2023-09-23,12.7,London
2023-09-24,16.9,London
2023-09-25,18.1,London
2023-09-26,17.2,London
2023-09-27,17.4,London
2023-09-28,16.7,London
2023-09-29,17.1,London
2023-09-30,14.7,London
2023-10-01,18.2,London
2023-10-02,17.7,London
2023-10-03,14.9,London
2023-10-04,13.9,London
2023-10-05,14.7,London
2023-10-06,16.5,London
2023-10-07,17.6,London
2023-10-08,16.8,London
2023-10-09,16.7,London
2023-10-10,16.5,London
2023-10-11,17.2,London
2023-10-12,15.1,London
2023-10-13,17.1,London
2023-10-14,9.8,London
2023-10-15,6.9,London
2023-10-16,7.7,London
2023-10-17,11.7,London
2023-10-18,12.8,London
2023-10-19,15.8,London
2023-10-20,14.2,London
2023-10-21,12.8,London
2023-10-22,10.0,London
2023-10-23,10.9,London
2023-10-24,10.3,London
2023-10-25,10.3,London
2023-10-26,11.2,London
2023-10-27,10.0,London
2023-10-28,11.8,London
2023-10-29,10.8,London
2023-10-30,10.9,London
2023-10-31,9.9,London
2023-11-01,12.0,London
2023-11-02,10.4,London
2023-11-03,9.5,London
2023-11-04,8.6,London
2023-11-05,9.0,London
2023-11-06,8.9,London
2023-11-07,7.8,London
2023-11-08,9.5,London
2023-11-09,8.0,London
2023-11-10,6.6,London
2023-11-11,5.4,London
2023-11-12,6.8,London
2023-11-13,12.2,London
2023-11-14,10.5,London
2023-11-15,8.7,London
2023-11-16,5.8,London
2023-11-17,6.1,London
2023-11-18,12.1,London
2023-11-19,12.0,London
